Number Row: 10-19-2-8-14 | Sum: 53 | Average: 10.6 
Number Row: 16-15-10-8-17 | Sum: 66 | Average: 13.2 
Number Row: 17-8-20-1-13 | Sum: 59 | Average: 11.8 
Number Row: 7-9-14-4-10 | Sum: 44 | Average: 8.8 
Number Row: 3-2-16-7-9 | Sum: 37 | Average: 7.4 
Number Row: 9-1-12-13-2 | Sum: 37 | Average: 7.4 
Number Row: 20-11-1-3-17 | Sum: 52 | Average: 10.4 
Number Row: 2-5-18-5-20 | Sum: 50 | Average: 10.0 
Number Row: 12-13-16-14-4 | Sum: 59 | Average: 11.8 
Number Row: 11-20-13-2-18 | Sum: 64 | Average: 12.8 
Number Row: 20-16-20-6-14 | Sum: 76 | Average: 15.2 
Number Row: 5-13-9-17-10 | Sum: 54 | Average: 10.8 
Number Row: 11-20-18-8-13 | Sum: 70 | Average: 14.0 
Number Row: 16-12-19-8-13 | Sum: 68 | Average: 13.6 
Number Row: 10-11-7-6-5 | Sum: 39 | Average: 7.8 
Number Row: 5-14-9-16-18 | Sum: 62 | Average: 12.4 
Number Row: 5-9-3-16-7 | Sum: 40 | Average: 8.0 
Number Row: 20-5-15-4-4 | Sum: 48 | Average: 9.6 
Number Row: 15-7-2-7-8 | Sum: 39 | Average: 7.8 
Number Row: 7-3-4-3-8 | Sum: 25 | Average: 5.0 
Number Row: 20-4-9-7-9 | Sum: 49 | Average: 9.8 
Number Row: 4-6-10-19-2 | Sum: 41 | Average: 8.2 
Number Row: 2-17-3-15-17 | Sum: 54 | Average: 10.8 
Number Row: 16-13-20-3-10 | Sum: 62 | Average: 12.4 
Number Row: 17-18-9-11-6 | Sum: 61 | Average: 12.2 
Number Row: 19-1-15-19-6 | Sum: 60 | Average: 12.0 
Number Row: 3-4-12-9-13 | Sum: 41 | Average: 8.2 
Number Row: 2-15-11-10-20 | Sum: 58 | Average: 11.6 
Number Row: 18-18-17-5-12 | Sum: 70 | Average: 14.0 
Number Row: 5-3-6-1-11 | Sum: 26 | Average: 5.2 
Number Row: 13-3-7-3-18 | Sum: 44 | Average: 8.8 
Number Row: 20-13-9-5-10 | Sum: 57 | Average: 11.4 
Number Row: 1-12-1-10-2 | Sum: 26 | Average: 5.2 
Number Row: 11-8-18-19-6 | Sum: 62 | Average: 12.4 
Number Row: 14-7-20-6-20 | Sum: 67 | Average: 13.4 
Number Row: 20-19-10-3-15 | Sum: 67 | Average: 13.4 
Number Row: 8-9-6-2-17 | Sum: 42 | Average: 8.4 
Number Row: 18-9-6-9-4 | Sum: 46 | Average: 9.2 
Number Row: 16-12-10-1-20 | Sum: 59 | Average: 11.8 
Number Row: 9-8-13-6-3 | Sum: 39 | Average: 7.8 
Number Row: 16-7-19-10-2 | Sum: 54 | Average: 10.8 
Number Row: 15-11-11-14-16 | Sum: 67 | Average: 13.4 
Number Row: 11-7-18-2-19 | Sum: 57 | Average: 11.4 
Number Row: 14-8-8-3-20 | Sum: 53 | Average: 10.6 
Number Row: 3-14-9-14-17 | Sum: 57 | Average: 11.4 
Number Row: 4-3-7-9-15 | Sum: 38 | Average: 7.6 
Number Row: 6-13-17-4-6 | Sum: 46 | Average: 9.2 
Number Row: 3-4-8-19-7 | Sum: 41 | Average: 8.2 
Number Row: 6-10-12-1-11 | Sum: 40 | Average: 8.0 
Number Row: 12-16-9-13-15 | Sum: 65 | Average: 13.0 
