Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T00:00+01:00;2026-03-11T01:00+01:00;2026-03-11;00:00;01:00;1;33;100,0;1;1;0;0;100,00;29;4;3;1;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T00:00+01:00;2026-03-11T01:00+01:00;2026-03-11;00:00;01:00;3;23;100,0;1;1;0;1;95,65;8;14;0;1;1;12;12;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T00:00+01:00;2026-03-11T01:00+01:00;2026-03-11;00:00;01:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T00:00+01:00;2026-03-11T01:00+01:00;2026-03-11;00:00;01:00;Totalt i retning Øst;56;100,0;1;1;0;1;98,21;37;18;3;2;1;12;12;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T00:00+01:00;2026-03-11T01:00+01:00;2026-03-11;00:00;01:00;Totalt;56;100,0;1;1;0;1;98,21;37;18;3;2;1;12;12;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T01:00+01:00;2026-03-11T02:00+01:00;2026-03-11;01:00;02:00;1;14;100,0;1;1;0;0;100,00;13;1;1;0;0;0;0;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T01:00+01:00;2026-03-11T02:00+01:00;2026-03-11;01:00;02:00;3;6;100,0;1;1;0;0;100,00;3;3;1;1;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T01:00+01:00;2026-03-11T02:00+01:00;2026-03-11;01:00;02:00;Totalt i retning Vest;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T01:00+01:00;2026-03-11T02:00+01:00;2026-03-11;01:00;02:00;Totalt i retning Øst;20;100,0;1;1;0;0;100,00;16;4;2;1;0;1;1;0
80769V2460281;Dr. Eufemias Gt. Østgående Datter;EV18 S55D10 m688;2026-03-11T01:00+01:00;2026-03-11T02:00+01:00;2026-03-11;01:00;02:00;Totalt;20;100,0;1;1;0;0;100,00;16;4;2;1;0;1;1;0
